Product Name,Supported Apps,OS,Resolution,Speaker Output,Refresh Rate,Rating,Original Price,Discounted Price
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,56000,43999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,106990,36999
iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,47990,29999
realme SLED 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.3,69999,44999
TOSHIBA U50 Series 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.3,39990,30999
Nokia 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate,4.3,79999,64999
SAMSUNG The Frame 2020 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.6,112900,72999
MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,54050,37999
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,34999,29999
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,49999,44999
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24W Speaker Output,60 Hz Refresh Rate,4.4,50000,30999
MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,4.4,54999,38999
Nokia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,39 W Speaker Output,60 Hz Refresh Rate,4.3,45999,31999
Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,120 Hz Refresh Rate,4.6,350000,279999
PHILIPS 164 cm (65 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,64 Hz Refresh Rate,5.0,199990,79999
MOTOROLA ZX 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.3,46050,30999
Thomson 140 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.1,49999,29999
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4.6,222900,129999
iFFALCON by TCL 163.82 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Micro Dimming and Google A...,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,16 W Speaker Output,60 Hz Refresh Rate,4.4,99999,59999
iFFALCON by TCL 189.3 cm (75 inch) Ultra HD (4K) LED Smart Android TV with Harman Kardon Speakers and ...,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,120 Hz Refresh Rate,4.2,239999,149999
ONIDA Google Certified 147.32 cm (58 inch) Ultra HD (4K) LED Smart Android TV,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,79990,49999
MOTOROLA ZX Pro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,4.4,61999,43999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,70990,43699
iFFALCON by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,58990,37699
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate,4.3,59999,41999
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,59999,52999
MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,54050,37999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,70990,43699
Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,120 Hz Refresh Rate,4.6,350000,279999
PHILIPS 164 cm (65 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,64 Hz Refresh Rate,5.0,199990,79999
MOTOROLA ZX 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.3,46050,30999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,106990,36999
iFFALCON by TCL 107.9 cm (43 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,76990,29990
Thomson 140 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.1,49999,29999
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4.6,222900,129999
iFFALCON by TCL 163.82 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Micro Dimming and Google A...,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,16 W Speaker Output,60 Hz Refresh Rate,4.4,99999,59999
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,52900,38999
Thomson 9R Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.4,46999,37999
iFFALCON 138.6 cm (55 inch) QLED Ultra HD (4K) Smart Android TV HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,126990,63499
Vu Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,60000,36999
MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 Ã— 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,4.4,49999,44999
iFFALCON by TCL 189.3 cm (75 inch) Ultra HD (4K) LED Smart Android TV with Harman Kardon Speakers and ...,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,120 Hz Refresh Rate,4.2,239999,149999
ONIDA Google Certified 147.32 cm (58 inch) Ultra HD (4K) LED Smart Android TV,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,79990,49999
Micromax 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.3,43990,26499
iFFALCON by TCL AI Powered K31 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with HDR 10,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,47990,29999
Micromax 124 cm (49 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.1,59990,42490
Mi 4X Pro 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Android,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,49999,39999
Vu Premium Android 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Cricket Mode,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.4,58000,36999
Nokia 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate,4.3,54999,38999
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,54900,40999
SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart TV with Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,76900,58999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,70990,43699
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.3,48900,38999
Vu Premium Android 163cm (65 inch) Ultra HD (4K) LED Smart TV,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,83000,58704
MOTOROLA 189 cm (75 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.2,261900,119999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,106990,36999
iFFALCON by TCL AI Powered K3A 138.78 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Super Narro...,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.5,89990,38999
TOSHIBA U79 Series 164 cm (65 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.5,84990,68999
Vu Pixelight 138 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: Linux,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.3,50990,32200
Vu Pixelight 126 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: Linux,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.4,41990,27999
Vu 190 cm (75 inch) Ultra HD (4K) LED Smart Android TV,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,250000,108000
Vu Premium Android 108cm (43 inch) Ultra HD (4K) LED Smart TV,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,43000,26990
SAMSUNG Crystal 4K Pro 125 cm (50 inch) Ultra HD (4K) LED Smart TV with Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,71400,53999
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,69900,54999
SAMSUNG The Frame 2020 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4.6,129900,81999
PHILIPS 6600 Series 126 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,105990,39999
Vu 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,4.1,60000,40999
SAMSUNG The Frame 2021 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4.3,144900,93999
OnePlus U Series 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,59999,52999
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,68400,50999
MOTOROLA ZX 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,115399,62999
TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,46990,37999
SAMSUNG 125 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.1,70900,54500
Vu Premium 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,75000,62999
Vu 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,75000,47290
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,70990,43699
SAMSUNG Crystal 4K 163 cm (65 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,116900,87999
Coocaa 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 10.0 Q,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.3,73990,40499
MOTOROLA ZX 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,61600,40999
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,106990,36999
Coocaa 127 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,53990,29999
SAMSUNG 139 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,86900,59890
SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4.3,222900,129999
